Movie Rank,Movie Name,Year Released,User Rating,Genre,Director,Gross Amount(Millions),Actor1,Actor2,Actor3,Actor4
127,Jurassic Park,1993,PG-13,Action,Steven Spielberg,402.45,Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough
128,Taxi Driver,1976,R,Crime,Martin Scorsese,28.26,Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks
129,No Country for Old Men,2007,R,Crime,Ethan Coen,74.28,Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson
130,Shutter Island,2010,R,Mystery,Martin Scorsese,128.01,Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo, Ben Kingsley
131,The Father,2020,PG-13,Drama,Florian Zeller,NULL,Anthony Hopkins, Olivia Colman, Mark Gatiss, Olivia Williams
132,Snatch,2000,R,Comedy,Guy Ritchie,30.33,Jason Statham, Brad Pitt, Stephen Graham, Vinnie Jones
133,Casino,1995,R,Crime,Martin Scorsese,42.44,Robert De Niro, Sharon Stone, Joe Pesci, James Woods
134,A Beautiful Mind,2001,PG-13,Biography,Ron Howard,170.74,Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer
135,Kill Bill: Vol. 1,2003,R,Action,Quentin Tarantino,70.1,Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen
136,The Thing,1982,R,Horror,John Carpenter,13.78,Kurt Russell, Wilford Brimley, Keith David, Richard Masur
137,There Will Be Blood,2007,R,Drama,Paul Thomas Anderson,40.22,Daniel Day-Lewis, Paul Dano, Ciarán Hinds, Martin Stringer
138,Green Book,2018,PG-13,Biography,Peter Farrelly,85.08,Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco
139,Batman Begins,2005,PG-13,Action,Christopher Nolan,206.85,Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson
140,The Truman Show,1998,PG,Comedy,Peter Weir,125.62,Jim Carrey, Ed Harris, Laura Linney, Noah Emmerich
141,Howl's Moving Castle,2004,PG,Animation,Hayao Miyazaki,4.71,Chieko Baishô, Takuya Kimura, Tatsuya Gashûin, Akihiro Miwa
142,The Sixth Sense,1999,PG-13,Drama,M. Night Shyamalan,293.51,Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams
143,Finding Nemo,2003,G,Animation,Andrew Stanton,380.84,Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe
144,Indiana Jones and the Last Crusade,1989,PG-13,Action,Steven Spielberg,197.17,Harrison Ford, Sean Connery, Alison Doody, Denholm Elliott
145,Unforgiven,1992,R,Drama,Clint Eastwood,101.16,Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris
146,All About Eve,1950,Passed,Drama,Joseph L. Mankiewicz,0.01,Bette Davis, Anne Baxter, George Sanders, Celeste Holm
147,Die Hard,1988,R,Action,John McTiernan,83.01,Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson
148,V for Vendetta,2005,R,Action,James McTeigue,70.51,Hugo Weaving, Natalie Portman, Rupert Graves, Stephen Rea
149,Downfall,2004,R,Biography,Oliver Hirschbiegel,5.51,Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes, Juliane Köhler
150,Chinatown,1974,R,Drama,Roman Polanski,8.49,Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez
151,Pan's Labyrinth,2006,R,Drama,Guillermo del Toro,37.63,Ivana Baquero, Ariadna Gil, Sergi López, Maribel Verdú
152,L.A. Confidential,1997,R,Crime,Curtis Hanson,64.62,Kevin Spacey, Russell Crowe, Guy Pearce, Kim Basinger
153,Monty Python and the Holy Grail,1975,PG,Adventure,Terry Gilliam,1.23,Graham Chapman, John Cleese, Eric Idle, Terry Gilliam
154,Gone with the Wind,1939,Passed,Drama,Victor Fleming,198.68,Clark Gable, Vivien Leigh, Thomas Mitchell, Barbara O'Neil
155,Warrior,2011,PG-13,Action,Gavin O'Connor,13.66,Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison
156,Some Like It Hot,1959,Passed,Comedy,Billy Wilder,25,Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft
157,For a Few Dollars More,1965,R,Drama,Sergio Leone,15,Clint Eastwood, Lee Van Cleef, Gian Maria Volontè, Mara Krupp
158,The Treasure of the Sierra Madre,1948,Passed,Adventure,John Huston,5.01,Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett
159,The Elephant Man,1980,PG,Biography,David Lynch,NULL,Anthony Hopkins, John Hurt, Anne Bancroft, John Gielgud
160,The Great Escape,1963,Approved,Adventure,John Sturges,12.1,Steve McQueen, James Garner, Richard Attenborough, Charles Bronson
161,The Secret in Their Eyes,2009,R,Drama,Juan José Campanella,6.39,Ricardo Darín, Soledad Villamil, Pablo Rago, Carla Quevedo
162,Ran,1985,R,Action,Akira Kurosawa,4.14,Tatsuya Nakadai, Akira Terao, Jinpachi Nezu, Daisuke Ryû
163,Rashomon,1950,Not Rated,Crime,Akira Kurosawa,0.1,Toshirô Mifune, Machiko Kyô, Masayuki Mori, Takashi Shimura
164,Klaus,2019,PG,Animation,Sergio Pablos,NULL,Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso
165,Tokyo Story,1953,Not Rated,Drama,Yasujirô Ozu,NULL,Chishû Ryû, Chieko Higashiyama, Sô Yamamura, Setsuko Hara
166,Dial M for Murder,1954,PG,Crime,Alfred Hitchcock,0.01,Ray Milland, Grace Kelly, Robert Cummings, John Williams
167,Yojimbo,1961,Not Rated,Action,Akira Kurosawa,NULL,Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai, Yôko Tsukasa
168,Children of Heaven,1997,PG,Drama,Majid Majidi,0.93,Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi, Nafise Jafar-Mohammadi
169,The Passion of Joan of Arc,1928,Passed,Biography,Carl Theodor Dreyer,0.02,Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz
170,To Be or Not to Be,1942,Passed,Comedy,Ernst Lubitsch,NULL,Carole Lombard, Jack Benny, Robert Stack, Felix Bressart
171,The Wages of Fear,1953,Not Rated,Adventure,Henri-Georges Clouzot,NULL,Yves Montand, Charles Vanel, Peter van Eyck, Folco Lulli
172,Pather Panchali,1955,Not Rated,Drama,Satyajit Ray,0.54,Kanu Bannerjee, Karuna Bannerjee, Subir Banerjee, Chunibala Devi
173,Sherlock Jr.,1924,Passed,Action,Buster Keaton,0.98,Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly
174,My Father and My Son,2005,Not Rated,Drama,Çagan Irmak,NULL,Çetin Tekindor, Fikret Kuskan, Hümeyra, Ege Tanman
175,Prisoners,2013,R,Crime,Denis Villeneuve,61,Hugh Jackman, Jake Gyllenhaal, Viola Davis, Melissa Leo
176,The Grand Budapest Hotel,2014,R,Adventure,Wes Anderson,59.1,Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody
177,Hacksaw Ridge,2016,R,Biography,Mel Gibson,67.21,Andrew Garfield, Sam Worthington, Luke Bracey, Teresa Palmer
178,Mad Max: Fury Road,2015,R,Action,George Miller,154.06,Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz
179,Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,Action,Gore Verbinski,305.41,Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley
180,Blade Runner,1982,R,Action,Ridley Scott,32.87,Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos
181,Jaws,1975,PG,Adventure,Steven Spielberg,260,Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary
182,The Exorcist,1973,R,Horror,William Friedkin,232.91,Ellen Burstyn, Max von Sydow, Linda Blair, Lee J. Cobb
183,Ford v Ferrari,2019,PG-13,Action,James Mangold,117.62,Matt Damon, Christian Bale, Jon Bernthal, Caitríona Balfe
184,Gone Girl,2014,R,Drama,David Fincher,167.77,Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry
185,Stand by Me,1986,R,Adventure,Rob Reiner,52.29,Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell
186,The Help,2011,PG-13,Drama,Tate Taylor,169.71,Viola Davis, Emma Stone, Octavia Spencer, Bryce Dallas Howard
187,The Big Lebowski,1998,R,Comedy,Joel Coen,17.5,Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi
188,Catch Me If You Can,2002,PG-13,Biography,Steven Spielberg,164.62,Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen
189,Ratatouille,2007,G,Animation,Brad Bird,206.45,Brad Garrett, Lou Romano, Patton Oswalt, Ian Holm
190,The Terminator,1984,R,Action,James Cameron,38.4,Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield
191,The Handmaiden,2016,Not Rated,Drama,Park Chan-wook,2.01,Kim Min-hee, Ha Jung-woo, Cho Jin-woong, Moon So-ri
192,Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,Adventure,David Yates,381.01,Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon
193,The Wizard of Oz,1939,PG,Adventure,Victor Fleming,2.08,Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr
194,Dead Poets Society,1989,PG,Comedy,Peter Weir,95.86,Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles
195,Spotlight,2015,R,Biography,Tom McCarthy,45.06,Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber
196,"Three Billboards Outside Ebbing, Missouri",2017,R,Comedy,Martin McDonagh,54.51,Frances McDormand, Woody Harrelson, Sam Rockwell, Caleb Landry Jones
197,Inside Out,2015,PG,Animation,Pete Docter,356.46,Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling
198,Platoon,1986,R,Drama,Oliver Stone,138.53,Charlie Sheen, Tom Berenger, Willem Dafoe, Keith David
199,Fargo,1996,R,Crime,Joel Coen,24.61,William H. Macy, Frances McDormand, Steve Buscemi, Peter Stormare
